time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2022-01-24T03:44:35.780Z,38.2491,-118.3671,0,1.8,ml,16,78.88,0.108,0.2248,nn,nn00832309,2022-01-24T03:48:16.076Z,"27 km SW of Mina, Nevada",earthquake,,4.8,0.23,10,automatic,nn,nn
2022-01-24T03:44:14.930Z,34.0285,-116.9945,12.17,1.04,ml,27,101,0.04944,0.14,ci,ci39921591,2022-01-24T03:47:55.656Z,"4km E of Yucaipa, CA",earthquake,0.22,0.48,0.256,30,automatic,ci,ci
2022-01-24T03:18:05.290Z,19.2093334197998,-155.425659179688,33.4799995422363,2.3599999,md,44,139,,0.119999997,hv,hv72887672,2022-01-24T03:21:17.080Z,"5 km E of Pāhala, Hawaii",earthquake,0.58,0.670000017,0.280000001,25,automatic,hv,hv
2022-01-24T03:17:02.580Z,19.158166885376,-155.471664428711,34.2099990844727,1.98000002,md,23,165,,0.100000001,hv,hv72887667,2022-01-24T03:20:09.970Z,"5 km S of Pāhala, Hawaii",earthquake,0.94,1.97000003,0.99000001,3,automatic,hv,hv
2022-01-24T03:07:33.915Z,61.5236,-146.3847,33.6,1.4,ml,,,,1.28,ak,ak02213qq7an,2022-01-24T03:12:24.867Z,"43 km N of Valdez, Alaska",earthquake,,0.2,,,automatic,ak,ak
2022-01-24T02:48:05.310Z,38.0652,46.3826,10,3.9,mb,,97,2.537,0.93,us,us7000gegy,2022-01-24T12:39:12.303Z,"8 km ESE of Tabriz, Iran",earthquake,8.6,2,0.154,11,reviewed,us,us
2022-01-24T02:40:34.400Z,19.2153339385986,-155.473999023438,34.75,2.36,ml,48,92,,0.129999995,hv,hv72887647,2022-01-24T03:44:24.040Z,"1 km NNE of Pāhala, Hawaii",earthquake,0.42,0.649999976,4.08,20,automatic,hv,hv
2022-01-24T02:40:16.700Z,19.2211666107178,-155.429336547852,31.3700008392334,2.39,ml,12,211,,0.109999999,hv,hv72887642,2022-01-24T02:45:47.140Z,"5 km ENE of Pāhala, Hawaii",earthquake,1.47,0.99000001,3.55,14,automatic,hv,hv
2022-01-24T02:38:37.380Z,32.5243333,-115.2418333,29.89,2.16,ml,20,126,0.2509,0.25,ci,ci39921567,2022-01-24T02:49:27.610Z,"11km ESE of Puebla, B.C., MX",earthquake,0.65,0.59,0.242,26,automatic,ci,ci
2022-01-24T02:34:14.696Z,59.0352,-153.03,69.4,1.9,ml,,,,0.48,ak,ak02213qak88,2022-01-24T05:52:14.553Z,"Southern Alaska",earthquake,,0.5,,,reviewed,ak,ak
2022-01-24T02:31:02.906Z,64.8262,-149.5872,10.1,2.5,ml,,,,0.77,ak,ak02213q9uhe,2022-01-24T03:33:46.040Z,"33 km NW of Four Mile Road, Alaska",earthquake,,0.3,,,automatic,ak,ak
2022-01-24T02:15:59.077Z,60.1173,-152.9068,116.3,1.7,ml,,,,0.51,ak,ak02213q6jcs,2022-01-24T03:26:25.040Z,"68 km WNW of Happy Valley, Alaska",earthquake,,0.6,,,automatic,ak,ak
2022-01-24T02:09:58.870Z,19.1956,-67.401,35,3.5,md,14,296,0.7837,0.52,pr,pr2022024001,2022-01-24T02:52:14.261Z,"84 km NNW of San Antonio, Puerto Rico",earthquake,3.73,28.28,0.1,9,reviewed,pr,pr
2022-01-24T02:03:14.727Z,-20.7667,-175.5363,10,4.8,mb,,96,6.76,1.15,us,us7000gegr,2022-01-24T02:36:40.040Z,"53 km NW of Nuku‘alofa, Tonga",earthquake,13.6,1.9,0.077,52,reviewed,us,us
2022-01-24T01:52:58.140Z,35.8621667,-117.6995,9.12,1.26,ml,19,72,0.07539,0.14,ci,ci39921551,2022-01-24T13:45:13.450Z,"20km ESE of Little Lake, CA",earthquake,0.23,0.72,0.203,16,reviewed,ci,ci
2022-01-24T01:44:30.760Z,35.9686661,-120.5203323,10.48,1.95,md,32,60,0.02317,0.06,nc,nc73682341,2022-01-24T02:32:49.230Z,"11km NW of Parkfield, CA",earthquake,0.19,0.29,0.15,21,automatic,nc,nc
2022-01-24T01:24:29.989Z,65.093,-148.6528,0,2.2,ml,,,,0.88,ak,ak02213pmyxv,2022-01-24T01:36:43.470Z,"33 km ESE of Minto, Alaska",earthquake,,0.2,,,automatic,ak,ak
2022-01-24T01:20:50.403Z,36.0802,69.1194,10,5,mww,,46,1.537,1.04,us,us7000gege,2022-01-24T01:42:09.040Z,"2 km NW of Nahrīn, Afghanistan",earthquake,4.7,1.8,0.098,10,reviewed,us,us
2022-01-24T01:20:18.540Z,36.6726685,-121.2685013,8.04,2.09,md,20,78,0.03336,0.11,nc,nc73682336,2022-01-24T02:07:11.092Z,"14km SSE of Tres Pinos, CA",earthquake,0.35,0.99,0.14,19,automatic,nc,nc
2022-01-24T01:18:47.095Z,65.0011,-147.4813,0,1.5,ml,,,,0.92,ak,ak02213plpyw,2022-01-24T01:28:42.006Z,"8 km NE of Fox, Alaska",earthquake,,0.6,,,automatic,ak,ak
2022-01-24T00:53:15.580Z,18.6958,-67.5031,6,3.83,md,28,172,0.3123,0.61,pr,pr2022024000,2022-01-24T03:36:09.541Z,"47 km NW of Aguadilla, Puerto Rico",earthquake,1.35,1.51,0.14,25,reviewed,pr,pr
2022-01-24T00:38:39.800Z,19.3308334350586,-155.13200378418,3.21000003814697,2.32,ml,40,123,,0.119999997,hv,hv72887552,2022-01-24T00:50:46.040Z,"14 km S of Fern Forest, Hawaii",earthquake,0.35,0.980000019,0.42,13,automatic,hv,hv
2022-01-24T00:37:47.580Z,19.1838340759277,-155.480667114258,32.75,2.63,ml,26,118,,0.119999997,hv,hv72887547,2022-01-24T00:43:16.400Z,"2 km S of Pāhala, Hawaii",earthquake,0.79,1.11000001,0.44,7,automatic,hv,hv
2022-01-24T00:33:10.530Z,19.2124996185303,-155.414337158203,32.2200012207031,2.25,ml,39,145,,0.129999995,hv,hv72887542,2022-01-24T00:45:53.040Z,"6 km E of Pāhala, Hawaii",earthquake,0.67,0.889999986,2.87,10,automatic,hv,hv
2022-01-24T00:22:25.110Z,35.0346667,-117.673,0.33,1.53,ml,25,63,0.1019,0.29,ci,ci39921487,2022-01-24T00:26:13.057Z,"4km NNW of Boron, CA",quarry blast,0.69,31.61,0.163,32,automatic,ci,ci
2022-01-24T00:12:53.907Z,38.2579,-118.3695,10.8,1.2,ml,13,143.68,0.107,0.053,nn,nn00832299,2022-01-24T02:37:26.245Z,"27 km WSW of Mina, Nevada",earthquake,,3.2,0.42,4,reviewed,nn,nn
2022-01-24T00:04:13.708Z,60.1504,-152.4702,95.4,1.9,ml,,,,0.8,ak,ak02213ox7ms,2022-01-24T00:16:44.165Z,"45 km WNW of Ninilchik, Alaska",earthquake,,0.5,,,automatic,ak,ak
2022-01-24T00:02:13.081Z,53.1988,-166.6789,25.5,3,ml,,,,0.4,ak,ak02213ownrq,2022-01-24T05:35:42.149Z,"75 km S of Unalaska, Alaska",earthquake,,1,,,reviewed,ak,ak
2022-01-24T00:01:24.960Z,19.3511657714844,-155.054000854492,1.25,1.83,ml,9,225,,0.159999996,hv,hv72887482,2022-01-24T00:06:55.730Z,"15 km SE of Fern Forest, Hawaii",earthquake,1.84,0.709999979,4.21,3,automatic,hv,hv
2022-01-24T00:01:22.222Z,38.2469,-118.3698,10.9,1,ml,16,135.56,0.106,0.1007,nn,nn00832297,2022-01-24T02:34:06.010Z,"27 km SW of Mina, Nevada",earthquake,,1.9,0.42,5,reviewed,nn,nn
2022-01-23T23:23:43.884Z,28.1834,143.0084,10,4.8,mb,,147,5.633,0.85,us,us7000gefx,2022-01-24T00:02:46.040Z,"Bonin Islands, Japan region",earthquake,11.8,1.9,0.062,80,reviewed,us,us
2022-01-23T23:01:47.710Z,37.4193333,-118.579,10.79,1.14,md,18,97,0.06723,0.05,nc,nc73682321,2022-01-24T01:52:10.929Z,"2km ENE of Round Valley, CA",earthquake,0.51,31.61,0.19,18,reviewed,nc,nc
2022-01-23T22:59:46.940Z,19.2013339996338,-155.453826904297,35.6100006103516,1.88999999,md,38,116,,0.129999995,hv,hv72887427,2022-01-23T23:03:02.020Z,"2 km E of Pāhala, Hawaii",earthquake,0.51,0.810000002,1.67999995,10,automatic,hv,hv
2022-01-23T22:38:52.749Z,38.1822,-117.7856,2.9,1.2,ml,10,165.86,0.122,0.1731,nn,nn00832295,2022-01-23T22:43:05.474Z,"36 km SE of Mina, Nevada",earthquake,,1.2,0.27,6,automatic,nn,nn
2022-01-23T22:30:36.662Z,-24.3344,-67.0678,166.21,4.4,mb,,66,1.712,0.53,us,us7000gefn,2022-01-24T03:03:05.040Z,"77 km W of San Antonio de los Cobres, Argentina",earthquake,5.4,8.2,0.13,17,reviewed,us,us
2022-01-23T22:22:06.681Z,59.9681,-152.7234,100.1,2.4,ml,,,,0.51,ak,ak02212el8xj,2022-01-24T02:56:07.040Z,"54 km WNW of Anchor Point, Alaska",earthquake,,0.6,,,automatic,ak,ak
2022-01-23T22:09:40.960Z,19.1773338317871,-155.472671508789,31.1599998474121,1.95000005,md,29,154,,0.129999995,hv,hv72887382,2022-01-23T22:12:55.350Z,"2 km SSE of Pāhala, Hawaii",earthquake,0.73,0.800000012,0.970000029,3,automatic,hv,hv
2022-01-23T22:04:57.782Z,66.0172,-148.0616,7.3,1.7,ml,,,,0.94,ak,ak02212ehi4v,2022-01-23T22:09:29.837Z,"46 km E of Stevens Village, Alaska",earthquake,,0.4,,,automatic,ak,ak
2022-01-23T22:02:46.070Z,19.2243328094482,-155.414001464844,34.2299995422363,1.86000001,md,28,142,,0.129999995,hv,hv72887377,2022-01-23T22:06:01.220Z,"7 km ENE of Pāhala, Hawaii",earthquake,0.65,0.850000024,1.63999999,6,automatic,hv,hv
2022-01-23T21:38:45.480Z,19.2043342590332,-155.424667358398,33.4199981689453,2.03,ml,37,143,,0.109999999,hv,hv72887347,2022-01-23T21:44:16.640Z,"5 km E of Pāhala, Hawaii",earthquake,0.49,0.810000002,3.25,5,automatic,hv,hv
2022-01-23T21:31:55.668Z,38.2662,-118.3692,4.1,1,ml,9,136.35,0.108,0.1115,nn,nn00832293,2022-01-23T21:35:24.393Z,"26 km WSW of Mina, Nevada",earthquake,,2.2,0.09,4,automatic,nn,nn
2022-01-23T21:25:06.381Z,61.3756,-146.142,20.1,2.2,ml,,,,0.92,ak,ak02212e0ggq,2022-01-23T21:29:45.501Z,"29 km NNE of Valdez, Alaska",earthquake,,0.5,,,automatic,ak,ak
2022-01-23T21:12:42.250Z,19.4923324584961,-155.664840698242,-1.61000001430511,1.7,ml,12,110,,0.219999999,hv,hv72887317,2022-01-23T21:18:13.900Z,"21 km E of Honaunau-Napoopoo, Hawaii",earthquake,0.45,0.879999995,2.39,3,automatic,hv,hv
2022-01-23T21:09:40.650Z,35.5181656,-120.847168,8.75,1.15,md,9,130,0.07755,0.24,nc,nc73682311,2022-01-23T22:21:11.602Z,"9km NNE of Cayucos, CA",earthquake,1.96,4.19,0.13,5,automatic,nc,nc
2022-01-23T21:03:04.480Z,35.6761667,-117.452,8.62,1.11,ml,11,174,0.08986,0.21,ci,ci39921407,2022-01-23T23:53:11.754Z,"11km SSW of Searles Valley, CA",earthquake,0.58,1.75,0.182,10,reviewed,ci,ci
2022-01-23T21:03:04.150Z,33.4401667,-116.3886667,3.56,1.03,ml,35,88,0.0886,0.25,ci,ci39921399,2022-01-23T21:06:41.864Z,"20km N of Borrego Springs, CA",earthquake,0.34,1,0.163,27,automatic,ci,ci
2022-01-23T20:57:15.310Z,33.4346657,-116.4004974,5.62,3.4,ml,109,46,0.09097,0.22,ci,ci39921383,2022-01-24T07:31:11.601Z,"20km N of Borrego Springs, CA",earthquake,0.2,0.82,0.232,14,reviewed,ci,ci
2022-01-23T20:52:21.150Z,17.9575,-66.8385,11,2.21,md,7,225,0.0443,0.06,pr,pr2022023001,2022-01-23T21:07:59.348Z,"4 km SSW of Indios, Puerto Rico",earthquake,0.64,0.44,0.17,4,reviewed,pr,pr
2022-01-23T20:51:42.860Z,31.68294426,-104.4108597,7.674047852000001,3.2,ml,39,51,0.07798123726,0.3,tx,tx2022bpuj,2022-01-23T21:23:43.256Z,"54 km S of Whites City, New Mexico",earthquake,0.7997962421,1.012758201,0.1,23,reviewed,tx,tx
2022-01-23T20:22:31.761Z,68.0541,-144.4627,20.4,3.6,ml,,,,0.69,ak,ak02212deftf,2022-01-23T20:53:41.040Z,"45 km E of Arctic Village, Alaska",earthquake,,0.5,,,reviewed,ak,ak
2022-01-23T19:59:13.002Z,64.9321,-148.8232,16.7,1.5,ml,,,,0.78,ak,ak02212d0w36,2022-01-23T20:06:26.424Z,"34 km SE of Minto, Alaska",earthquake,,0.5,,,automatic,ak,ak
